net,length_um
_05097_,325.91µm
_00514_,325.88µm
_04096_,325.54µm
_03773_,324.48µm
clknet_4_8__leaf_clk,324.46µm
net772,324.38µm
_05534_,324.37µm
_17889_,323.73µm
_05620_,323.69µm
_02798_,323.24µm
_01151_,323.14µm
highshift.data\[129\],322.9µm
_01004_,322.24µm
_28299_,322.22µm
net754,322.09µm
net778,321.98µm
_05975_,321.64µm
highshift.data\[101\],321.63µm
_11885_,320.85µm
_08599_,320.74µm
_15851_,320.38µm
_18203_,320.3µm
net150,320.08µm
net527,319.9µm
_11960_,319.8µm
_31197_,319.64µm
_10680_,319.29µm
_25104_,318.6µm
net606,318.59µm
_01919_,318.48µm
_02744_,318.37µm
lowshift.data\[107\],318.16µm
lowshift.data\[106\],318.13µm
_06232_,318.12µm
_03763_,318.09µm
_03655_,317.78µm
lowshift.data\[67\],317.78µm
net171,317.36µm
_03864_,317.34µm
clknet_4_9__leaf_clk,317.11µm
highshift.data\[22\],317.01µm
net647,317µm
_03853_,316.96µm
_10836_,316.94µm
_00767_,316.57µm
_03800_,316.48µm
net435,316.46µm
_24705_,316.43µm
lowshift.data\[61\],316.24µm
_19817_,316.04µm
_04115_,315.58µm
net108,315.24µm
_03802_,314.65µm
_23201_,314.42µm
net1085,314.22µm
net670,314.14µm
net259,313.1µm
net581,312.995µm
_10601_,312.95µm
_04705_,312.72µm
_15325_,312.42µm
net970,312.33µm
net1070,312.16µm
_22897_,312.12µm
net834,311.99µm
_05781_,311.87µm
_11828_,311.6µm
lowshift.data\[134\],311.48µm
_03203_,311.37µm
net145,311.36µm
highshift.data\[5\],311.24µm
lowshift.data\[32\],310.91µm
net1,310.81µm
lowshift.data\[135\],310.34µm
_01115_,309.96µm
net343,309.91µm
net511,309.76µm
net120,309.605µm
highshift.data\[61\],309.51µm
highshift.data\[173\],309.42µm
_05407_,309.26µm
net141,309.06µm
_27970_,308.99µm
_17786_,308.75µm
net860,308.75µm
net934,308.74µm
net756,308.62µm
net1072,308.32µm
highshift.data\[6\],308.05µm
_02818_,307.88µm
lowshift.data\[210\],307.56µm
_04118_,307.52µm
lowshift.data\[56\],307.5µm
net47,307.23µm
highshift.data\[26\],307.17µm
_09743_,306.98µm
_04174_,306.69µm
highshift.data\[93\],306.56µm
_04763_,306.24µm
net451,306.19µm
_03282_,305.97µm
net105,305.77µm
_32389_,305.23µm
net631,305.04µm
lowshift.data\[142\],304.79µm
_08418_,304.62µm
_00821_,304.16µm
_14617_,304.1µm
net696,304.06µm
net129,303.97µm
net118,303.8µm
_10278_,303.55µm
net104,302.835µm
_19364_,302.37µm
net755,302.26µm
_11786_,302.12µm
net304,301.76µm
_14745_,301.74µm
net1068,301.39µm
highshift.data\[27\],301.35µm
_09707_,301.28µm
net746,301.11µm
_09677_,300.81µm
_05414_,300.78µm
_26934_,300.36µm
_15221_,300.22µm
net828,300.12µm
_19578_,300.02µm
net994,299.92µm
net58,299.65µm
lowshift.data\[205\],299.56µm
net461,299.36µm
_02657_,299.35µm
net885,299.06µm
net174,298.9µm
net335,298.68µm
highshift.data\[188\],298.57µm
net59,298.56µm
_01204_,298.43µm
_06259_,298.3µm
_10111_,298.23µm
_08127_,298.22µm
_32312_,298.15µm
net586,298.08µm
_20772_,297.88µm
highshift.data\[178\],297.34µm
lowshift.data\[220\],297.32µm
net48,297.23µm
_05693_,297.16µm
_11871_,297.1µm
_24158_,297.04µm
_13579_,296.49µm
net602,296.13µm
_04984_,296.02µm
net99,295.74µm
_05006_,295.185µm
_10279_,294.96µm
_04627_,294.9µm
net1057,294.22µm
net477,293.6µm
net424,293.565µm
_07412_,293.08µm
_32653_,292.79µm
_05462_,292.755µm
net438,292.565µm
_12308_,292.46µm
net713,292.32µm
_24164_,292.03µm
_05431_,291.92µm
net711,291.78µm
net644,291.68µm
_04439_,291.64µm
_20563_,291.61µm
_03653_,291.58µm
net446,291.36µm
net824,290.76µm
_19523_,290.35µm
_17033_,290.08µm
_05768_,289.99µm
lowshift.data\[178\],289.98µm
_01052_,289.82µm
highshift.data\[144\],289.8µm
_21946_,289.79µm
_05778_,289.68µm
net1014,289.66µm
net486,289.62µm
_07852_,289.42µm
net288,289.3µm
highshift.data\[60\],288.98µm
net1041,288.91µm
_18207_,288.72µm
_06773_,288.7µm
net1076,288.02µm
_15471_,287.92µm
net504,287.65µm
net616,287.21µm
_07078_,287.01µm
_14257_,286.99µm
net888,286.74µm
_25058_,286.72µm
_05772_,286.63µm
_02523_,286.59µm
_08419_,286.36µm
_21951_,286.36µm
net277,286.33µm
net653,286.2µm
_28874_,285.62µm
_07923_,285.54µm
net1114,285.11µm
highshift.data\[24\],284.68µm
_04419_,284.66µm
_10914_,284.62µm
_05248_,284.57µm
_04826_,284.46µm
net760,284.46µm
net839,284.26µm
_26222_,284.04µm
_32488_,283.7µm
_32345_,283.68µm
_14279_,283.66µm
_02560_,283.56µm
_17609_,283.51µm
_09244_,283.4µm
net364,283.18µm
net547,282.86µm
net491,282.85µm
_22702_,282.8µm
_25359_,282.67µm
_21889_,282.66µm
_24741_,282.38µm
lowshift.data\[193\],281.54µm
_24948_,280.73µm
_22402_,280.35µm
net638,280.11µm
_03959_,280.08µm
_31260_,280.02µm
highshift.data\[18\],279.75µm
_06742_,279.67µm
net113,278.84µm
net282,278.7µm
_21829_,278.67µm
_25018_,278.52µm
_00894_,277.95µm
_03795_,277.9µm
_03566_,277.86µm
lowshift.data\[148\],277.6µm
_16265_,277.41µm
net128,276.98µm
_20275_,276.81µm
_03975_,276.58µm
_24134_,276.2µm
_11394_,276.17µm
highshift.data\[13\],276.13µm
_15939_,276.04µm
_11973_,276.02µm
_07007_,275.56µm
_24976_,275.17µm
_03761_,275.13µm
_11918_,275.09µm
net482,275µm
_02575_,274.67µm
_21818_,274.33µm
net1106,274.29µm
_19582_,274.15µm
highshift.data\[172\],274.14µm
net262,274.05µm
_10958_,273.92µm
_20158_,273.84µm
_03235_,273.78µm
_09216_,273.67µm
_21956_,273.63µm
net753,273.375µm
net178,273.37µm
_24550_,273.34µm
_24614_,273.26µm
_26979_,272.77µm
_01085_,272.6µm
_25021_,272.54µm
_06549_,272.45µm
_02566_,272.24µm
_10761_,272.12µm
_03390_,271.91µm
net1050,271.65µm
net578,271.56µm
_16146_,271.21µm
net600,271.2µm
net279,270.96µm
_02592_,270.8µm
net21,270.38µm
net955,270.26µm
_04155_,270.24µm
_18155_,270.13µm
net505,269.4µm
_32215_,269.37µm
net358,269.215µm
net933,268.945µm
_04484_,268.75µm
net496,268.26µm
highshift.data\[166\],268.13µm
_11211_,267.92µm
_02741_,267.89µm
net470,267.88µm
net339,267.83µm
_09097_,267.69µm
net575,267.5µm
net291,267.42µm
net850,267.265µm
net441,267.185µm
_24528_,267.14µm
_01228_,266.67µm
net20,266.56µm
net823,266.32µm
_02620_,266.1µm
_17510_,265.7µm
_11088_,265.62µm
net502,265.27µm
net264,265.24µm
_15170_,265.12µm
_10889_,264.785µm
net707,264.76µm
_15968_,264.63µm
_17733_,264.52µm
net607,264.48µm
_06829_,264.445µm
_15487_,264.41µm
_04530_,264.37µm
_17339_,264.3µm
_06303_,264.26µm
_23619_,264.22µm
highshift.data\[62\],264.2µm
_04825_,264.01µm
_02658_,263.78µm
_19587_,263.765µm
_04483_,263.69µm
_15558_,263.63µm
_29662_,263.63µm
_15168_,263.42µm
net421,263.42µm
net613,263.32µm
_05201_,262.74µm
_23744_,262.69µm
net456,262.27µm
net331,262.265µm
_04097_,262.16µm
_24611_,262.16µm
_25143_,262.1µm
_04529_,261.95µm
net490,261.94µm
net776,261.93µm
_06664_,261.87µm
net414,261.83µm
_17338_,261.74µm
_16135_,261.7µm
net408,261.59µm
_10005_,261.55µm
_02188_,261.35µm
_00624_,261.06µm
net60,260.92µm
_05695_,260.88µm
_07069_,260.59µm
net316,260.17µm
_32466_,260.1µm
lowshift.data\[195\],259.83µm
_20564_,259.52µm
_10832_,259.51µm
lowshift.data\[109\],259.32µm
_18803_,259.26µm
lowshift.data\[213\],259.12µm
_03782_,258.93µm
highshift.data\[14\],258.92µm
_07720_,258.56µm
_24402_,258.54µm
_10681_,258.24µm
_16124_,258.23µm
_06920_,258.13µm
_04584_,258.11µm
lowshift.data\[63\],257.81µm
_18211_,257.7µm
net959,257.68µm
net618,257.19µm
_21343_,257.16µm
net742,257.05µm
lowshift.data\[68\],256.76µm
net407,256.715µm
_03280_,256.59µm
_25243_,256.49µm
_05306_,256.41µm
net969,256.3µm
_32455_,256.1µm
_15742_,255.54µm
_23137_,255.53µm
_00613_,255.38µm
net390,255.18µm
net1053,255.17µm
_19940_,255.1µm
_08955_,254.98µm
_07124_,254.93µm
_05624_,254.9µm
_23560_,254.36µm
_10892_,254.21µm
net572,254.18µm
net529,254.04µm
highshift.data\[29\],253.88µm
_11888_,253.56µm
net466,253.52µm
net313,252.82µm
_07125_,252.74µm
net1099,252.64µm
net298,252.635µm
net110,252.3µm
_04583_,252.24µm
_08631_,252.2µm
net864,251.86µm
_31364_,251.13µm
_17640_,251.01µm
_19418_,250.96µm
_10648_,250.64µm
lowshift.data\[59\],250.64µm
net140,250.49µm
_00635_,250.34µm
highshift.data\[169\],250.32µm
net367,250.32µm
_04709_,250.18µm
_12744_,250.025µm
_20856_,249.84µm
_18473_,249.8µm
_04828_,249.58µm
_05501_,249.52µm
_30981_,249.42µm
_27614_,249.2µm
net987,248.23µm
_10014_,248.035µm
_01129_,247.7µm
net555,247.68µm
_23419_,247.6µm
_06853_,247.59µm
_11763_,247.54µm
_06038_,247.44µm
lowshift.data\[34\],247.34µm
_15854_,247.14µm
highshift.data\[163\],247.1µm
_05512_,247.01µm
_23672_,246.84µm
net57,246.26µm
_06396_,246.2µm
_19847_,246.16µm
_12319_,246.08µm
net854,245.74µm
net643,245.41µm
_22701_,245.145µm
_18510_,245.03µm
net989,244.995µm
_25340_,244.74µm
_10003_,244.56µm
_06665_,244.52µm
_07556_,244.2µm
_16266_,244.14µm
lowshift.data\[206\],243.78µm
net634,243.78µm
_03054_,243.77µm
net1016,243.76µm
_07814_,243.74µm
_06835_,243.72µm
lowshift.data\[196\],243.49µm
_12892_,243.46µm
_15023_,243.06µm
_22157_,243.06µm
_15022_,242.82µm
_15804_,242.68µm
_11649_,242.57µm
net100,242.51µm
net863,242.36µm
_31849_,242.18µm
lowshift.data\[96\],242.14µm
_11774_,241.89µm
lowshift.data\[128\],241.81µm
_04630_,241.62µm
_09514_,241.595µm
_05409_,241.56µm
_18388_,241.54µm
net676,241.49µm
net1060,241.46µm
net347,241.4µm
highshift.data\[1\],241.39µm
_03058_,241.12µm
highshift.data\[91\],241.06µm
net389,240.96µm
_30979_,240.9µm
_29667_,240.82µm
_10740_,240.73µm
_11639_,240.71µm
net579,240.68µm
_13365_,240.67µm
_11816_,240.6µm
_14332_,240.42µm
_05334_,240.28µm
_07058_,240.15µm
_17926_,240µm
_07638_,239.84µm
_22156_,239.67µm
_13578_,239.61µm
net894,239.43µm
lowshift.data\[110\],239.42µm
_01755_,239.29µm
_07953_,239.26µm
net770,239.135µm
_07100_,238.98µm
net738,238.9µm
_07466_,238.87µm
_07440_,238.82µm
lowshift.data\[16\],238.52µm
net480,238.25µm
_09351_,238.225µm
net633,238.2µm
_11796_,238.18µm
_11526_,238.16µm
_22981_,237.83µm
net774,237.68µm
_01821_,237.66µm
_13176_,237.66µm
lowshift.data\[149\],237.58µm
net642,237.54µm
_07508_,237.49µm
_17732_,237.32µm
net664,237.235µm
_01415_,237.2µm
net394,237.12µm
_18511_,237µm
net136,237µm
_12484_,236.93µm
_30637_,236.51µm
_16899_,236.5µm
_09667_,235.98µm
net1104,235.9µm
_29585_,235.76µm
_03072_,235.75µm
net56,235.59µm
_06447_,234.96µm
_23618_,234.9µm
net622,234.85µm
net684,234.85µm
_21099_,234.76µm
_27475_,234.74µm
net1112,234.72µm
net867,234.64µm
highshift.data\[167\],234.39µm
net620,234.305µm
net639,234.27µm
_18882_,234.23µm
_13344_,234.22µm
net909,234.16µm
_06462_,233.84µm
_18078_,233.82µm
_11863_,233.45µm
_25192_,233.34µm
_06918_,233.02µm
_12090_,233.02µm
_11527_,232.4µm
_01241_,232.36µm
net702,232.315µm
_09349_,232.26µm
