net,length_um
net537,176.46µm
net498,176.13µm
_03286_,176.02µm
net295,175.915µm
_00638_,175.38µm
net75,174.9µm
net262,174.46µm
input_data[229],174.1µm
input_data[228],174.02µm
_00884_,173.515µm
input_data[13],173.18µm
_03966_,173.1µm
output_high[0],172.75µm
net326,172.63µm
net475,172.56µm
_08875_,172.19µm
_06180_,171.7µm
net545,171.56µm
net233,171.04µm
net178,171.005µm
net499,170.995µm
net393,170.88µm
_03326_,170.865µm
net366,170.655µm
_10311_,170.62µm
net529,170.58µm
_09603_,170.55µm
net2,170.5µm
_06973_,170.3µm
_04632_,170.24µm
_04007_,169.96µm
net487,169.94µm
_09029_,169.8µm
net76,169.48µm
net398,169.27µm
net383,169.14µm
_06246_,168.92µm
net377,168.65µm
net259,168.05µm
_04445_,168.04µm
net307,168.01µm
_01067_,167.98µm
net445,167.895µm
input_data[14],167.88µm
_03207_,167.635µm
input_data[227],167.42µm
_03851_,167.33µm
_10266_,167.11µm
net284,167.05µm
_05556_,166.88µm
net455,166.66µm
_10795_,166.56µm
net369,166.44µm
net571,166.4µm
net390,166.315µm
_00212_,166µm
_04006_,165.58µm
_02615_,165.565µm
input_data[226],165.5µm
_00251_,165.4µm
_02188_,165.08µm
_00715_,164.795µm
_00820_,164.66µm
_04706_,164.58µm
_03410_,164.465µm
_07047_,164.4µm
_01657_,164.38µm
_02715_,164.1µm
net467,164.075µm
net463,164.065µm
_00844_,163.94µm
_05567_,163.48µm
_08357_,163.42µm
net378,163.34µm
_04565_,163.24µm
_05776_,163.16µm
input_data[20],163.02µm
net235,162.88µm
_00349_,162.66µm
_09871_,162.635µm
net462,162.435µm
_02595_,162.365µm
input_data[16],162.26µm
input_data[15],161.94µm
_11035_,161.86µm
_06081_,161.62µm
_09684_,161.12µm
_01616_,161.085µm
net460,160.935µm
net521,160.9µm
net288,160.8µm
_03237_,160.72µm
_02960_,159.98µm
net349,159.98µm
_01706_,159.95µm
net170,159.59µm
net298,159.195µm
net189,158.955µm
net440,158.78µm
net25,158.6µm
_04756_,158.59µm
net501,158.475µm
input_data[225],158.4µm
_04376_,158.11µm
input_data[17],158.02µm
_05611_,157.16µm
_01365_,156.74µm
_00309_,156.71µm
input_data[19],156.56µm
net425,156.515µm
_04661_,156.495µm
net412,156.405µm
net275,156.4µm
_03204_,156.29µm
input_data[224],155.78µm
net361,155.56µm
_00654_,154.8µm
_05061_,154.74µm
_04014_,154.24µm
_06644_,154.16µm
net274,153.76µm
net493,152.84µm
_02612_,152.82µm
net321,152.695µm
_03039_,152.62µm
_07104_,152.48µm
input_data[21],152.4µm
_10642_,152.34µm
net536,151.86µm
_01263_,151.46µm
net212,151.38µm
_04229_,151.26µm
net193,150.94µm
net565,150.785µm
net24,150.44µm
net337,150.3µm
net528,149.72µm
_10738_,149.56µm
_07562_,149.38µm
net421,149.08µm
net325,149.04µm
_09207_,148.92µm
input_data[23],148.88µm
_01703_,148.52µm
_00647_,148.5µm
input_data[22],148.5µm
_04284_,148.44µm
_03090_,148.32µm
net564,148.135µm
net416,147.9µm
_09757_,147.72µm
_08918_,147.34µm
input_data[18],147.14µm
_05798_,147µm
net415,146.92µm
_09051_,146.855µm
net297,146.75µm
net234,146.28µm
net26,146.06µm
net406,146.02µm
_06820_,145.74µm
net554,145.24µm
_10676_,144.8µm
net344,144.73µm
net485,144.66µm
net490,144.62µm
_03059_,144.41µm
net103,143.955µm
_01522_,143.78µm
net397,143.46µm
net434,143.32µm
_08073_,143.28µm
_06684_,143.26µm
net497,143.14µm
_01156_,143.12µm
_10373_,143µm
net510,142.89µm
_06976_,142.26µm
net258,142.06µm
_05826_,142.055µm
_08348_,141.94µm
