net,length_um
output_ai[124],7.58µm
output_ai[144],7.58µm
output_ai[14],7.58µm
output_ai[15],7.58µm
output_ai[188],7.58µm
output_ai[204],7.58µm
output_ai[212],7.58µm
output_ai[216],7.58µm
output_ai[220],7.58µm
output_ai[24],7.58µm
output_ai[27],7.58µm
output_ai[30],7.58µm
output_ai[31],7.58µm
output_ai[44],7.58µm
output_ai[46],7.58µm
output_ai[47],7.58µm
output_ai[52],7.58µm
output_ai[56],7.58µm
output_ai[58],7.58µm
output_ai[62],7.58µm
output_ai[63],7.58µm
output_ai[66],7.58µm
output_ai[72],7.58µm
output_ai[76],7.58µm
output_ai[78],7.58µm
output_ai[79],7.58µm
output_ai[7],7.58µm
output_ai[82],7.58µm
output_ai[84],7.58µm
output_ai[86],7.58µm
output_ai[87],7.58µm
output_ai[92],7.58µm
output_ai[96],7.58µm
output_ai[98],7.58µm
_230_,7.51µm
_035_,7.17µm
_020_,7.06µm
_220_,6.98µm
_229_,6.83µm
_133_,6.72µm
_155_,6.53µm
_073_,6.48µm
_186_,6.36µm
net310,6.32µm
_222_,6.3µm
_137_,6.14µm
net171,6.14µm
_103_,6.11µm
_197_,6.11µm
_078_,6.02µm
_136_,5.96µm
_003_,5.9µm
_026_,5.9µm
_231_,5.67µm
_065_,5.61µm
_106_,5.61µm
_188_,5.61µm
_062_,5.56µm
_146_,5.56µm
_149_,5.56µm
_153_,5.56µm
_172_,5.56µm
_178_,5.56µm
_179_,5.56µm
_187_,5.56µm
_218_,5.46µm
_224_,5.36µm
_237_,5.21µm
_058_,5.15µm
_205_,5.15µm
_175_,5.14µm
_057_,5.1µm
_083_,5.1µm
_139_,5.1µm
_016_,5.04µm
_030_,5.02µm
_097_,5µm
_120_,4.97µm
_025_,4.93µm
_111_,4.93µm
_209_,4.93µm
_143_,4.88µm
_196_,4.76µm
_208_,4.76µm
_194_,4.73µm
_102_,4.54µm
_116_,4.54µm
_189_,4.54µm
_204_,4.54µm
_214_,4.54µm
_227_,4.53µm
_112_,4.51µm
_066_,4.44µm
_091_,4.27µm
_022_,4.22µm
_011_,4.08µm
_012_,4.08µm
_117_,4.08µm
_144_,4.08µm
_160_,4.08µm
_162_,4.08µm
_177_,4.08µm
_198_,4.08µm
_202_,4.08µm
_211_,4.08µm
_238_,4.08µm
_092_,4.05µm
_152_,4.05µm
_108_,3.76µm
_127_,3.76µm
_219_,3.76µm
_072_,3.71µm
_034_,3.42µm
_070_,3.35µm
_107_,3.35µm
_169_,3.35µm
_084_,3.3µm
_013_,3.23µm
_096_,3.23µm
_228_,3.23µm
_232_,3.2µm
_076_,3.13µm
_104_,3.13µm
_067_,2.89µm
_068_,2.89µm
_074_,2.89µm
_075_,2.89µm
_089_,2.89µm
_090_,2.89µm
_098_,2.89µm
_164_,2.89µm
_195_,2.89µm
_201_,2.89µm
_008_,2.84µm
_014_,2.84µm
_029_,2.84µm
